date,model_id,bybit_equity_usd,bybit_total_pnl_usd,bybit_realized_pnl_usd,bybit_unrealized_pnl_usd,bybit_win_rate,bybit_closed_trades,total_equity_usd,total_pnl_usd,realized_pnl_usd,unrealized_pnl_usd,win_rate,closed_trades
2026-03-22,A,9646.524348,-353.475652,-495.78239,142.306738,10.0,30,19646.524348,-353.475652,-495.78239,142.306738,10.0,30
2026-03-22,B,10195.625389,195.625389,-128.170669,323.796058,25.0,8,20195.625389,195.625389,-128.170669,323.796058,25.0,8
2026-03-22,C,10068.957113,68.957113,-994.808843,1063.765956,0.0,1,20068.957113,68.957113,-994.808843,1063.765956,0.0,1
2026-03-22,D,9673.24565,-326.75435,-311.321062,-15.433288,23.0769,13,9673.24565,-10326.75435,-311.321062,-15.433288,23.0769,13
