date,model_id,bybit_equity_usd,bybit_total_pnl_usd,bybit_realized_pnl_usd,bybit_unrealized_pnl_usd,bybit_win_rate,bybit_closed_trades,total_equity_usd,total_pnl_usd,realized_pnl_usd,unrealized_pnl_usd,win_rate,closed_trades,bybit_rebuild_restart_note_ko,bybit_rebuild_restart_variant_id,bybit_rebuild_restart_seed_usd,bybit_rebuild_restart_ts
2026-04-01,A,6586.3035660000005,-3413.696434,0.0,0.0,0.0,0,16586.303566000002,-3413.696434,0.0,0.0,0.0,0,,D.ver@20260401-164130-A,10000.0,1775061690
2026-04-01,B,60887.314718,50887.314718,0.0,0.0,0.0,0,70887.31471800001,50887.314718,0.0,0.0,0.0,0,,D.ver@20260401-164130-B,10000.0,1775061690
2026-04-01,C,11257.635308,1257.635308,0.0,0.0,0.0,0,21257.635308,1257.635308,0.0,0.0,0.0,0,,D.ver@20260401-164130-C,10000.0,1775061690
2026-04-01,D,4622.407593,-5377.592407,0.0,0.0,0.0,0,4622.407593,-5377.592407,0.0,0.0,0.0,0,4월 1일자로 초기화및 재 튜닝 진행,D.ver@20260401-164130-D,10000.0,1775061690
