date,model_id,bybit_equity_usd,bybit_total_pnl_usd,bybit_realized_pnl_usd,bybit_unrealized_pnl_usd,bybit_win_rate,bybit_closed_trades,total_equity_usd,total_pnl_usd,realized_pnl_usd,unrealized_pnl_usd,win_rate,closed_trades
2026-03-20,A,9577.076681,-422.923319,-581.03614,158.11282,21.7391,23,19577.076681,-422.923319,-581.03614,158.11282,21.7391,23
2026-03-20,B,11561.287857,1561.287857,1006.991673,554.296184,42.8571,21,21561.287857,1561.287857,1006.991673,554.296184,42.8571,21
2026-03-20,C,9533.36729,-466.63271,-1522.049359,1055.41665,0.0,6,19533.36729,-466.63271,-1522.049359,1055.41665,0.0,6
2026-03-20,D,9902.499724,-97.500276,-157.359634,59.859358,34.6154,26,9902.499724,-10097.500276,-157.359634,59.859358,34.6154,26
