date,model_id,bybit_equity_usd,bybit_total_pnl_usd,bybit_realized_pnl_usd,bybit_unrealized_pnl_usd,bybit_win_rate,bybit_closed_trades,total_equity_usd,total_pnl_usd,realized_pnl_usd,unrealized_pnl_usd,win_rate,closed_trades
2026-03-19,A,9251.805731,-748.194269,-1214.231627,466.037358,0.0,21,19251.805731,-748.194269,-1214.231627,466.037358,0.0,21
2026-03-19,B,7904.7791,-2095.2209,-2095.2209,0.0,0.0,5,17904.7791,-2095.2209,-2095.2209,0.0,0.0,5
2026-03-19,C,11240.578261,1240.578261,0.0,1240.578261,0.0,0,21240.578261,1240.578261,0.0,1240.578261,0.0,0
2026-03-19,D,12515.609184,2515.609184,2515.609184,0.0,50.0,12,12515.609184,-7484.390816,2515.609184,0.0,50.0,12
