date,model_id,bybit_equity_usd,bybit_total_pnl_usd,bybit_realized_pnl_usd,bybit_unrealized_pnl_usd,bybit_win_rate,bybit_closed_trades,total_equity_usd,total_pnl_usd,realized_pnl_usd,unrealized_pnl_usd,win_rate,closed_trades
2026-03-21,A,10688.566984,688.566984,678.429215,10.13777,30.9524,42,20688.566984,688.566984,678.429215,10.13777,30.9524,42
2026-03-21,B,10864.84759,864.84759,847.290334,17.557256,41.4634,41,20864.84759,864.84759,847.290334,17.557256,41.4634,41
2026-03-21,C,6815.85749,-3184.14251,-3421.306647,237.164137,16.6667,18,16815.85749,-3184.14251,-3421.306647,237.164137,16.6667,18
2026-03-21,D,11404.600493,1404.600493,1349.917539,54.682955,40.3226,62,11404.600493,-8595.399507,1349.917539,54.682955,40.3226,62
